year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,AA,1940,MEM,"Memphis, TN",Tennessee,DFW,"Dallas/Fort Worth, TX",Texas,521,512,-9,16,528,645,17,711,702,-9,0,,0,110,110,77,431,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1941,ORD,"Chicago, IL",Illinois,PHL,"Philadelphia, PA",Pennsylvania,1710,1706,-4,12,1718,1955,5,2001,2000,-1,0,,0,111,114,97,678,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1942,MIA,"Miami, FL",Florida,PHX,"Phoenix, AZ",Arizona,1550,1547,-3,14,1601,1837,8,1858,1845,-13,0,,0,308,298,276,1972,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1943,CLT,"Charlotte, NC",North Carolina,MSY,"New Orleans, LA",Louisiana,1832,1828,-4,19,1847,1927,5,1941,1932,-9,0,,0,129,124,100,651,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1944,DCA,"Washington, DC",Virginia,TPA,"Tampa, FL",Florida,824,821,-3,22,843,1045,6,1105,1051,-14,0,,0,161,150,122,814,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1945,OGG,"Kahului, HI",Hawaii,PHX,"Phoenix, AZ",Arizona,2220,2246,26,12,2258,653,9,706,702,-4,0,,0,346,316,295,2845,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1946,SAN,"San Diego, CA",California,DFW,"Dallas/Fort Worth, TX",Texas,1246,1257,11,31,1328,1750,10,1746,1800,14,0,,0,180,183,142,1171,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1947,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,1112,1110,-2,17,1127,1538,7,1555,1545,-10,0,,0,163,155,131,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1948,BNA,"Nashville, TN",Tennessee,MIA,"Miami, FL",Florida,1815,1812,-3,15,1827,2115,7,2130,2122,-8,0,,0,135,130,108,806,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1948,MIA,"Miami, FL",Florida,BNA,"Nashville, TN",Tennessee,1555,1554,-1,12,1606,1705,7,1720,1712,-8,0,,0,145,138,119,806,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1949,PHX,"Phoenix, AZ",Arizona,SAN,"San Diego, CA",California,834,828,-6,12,840,833,3,853,836,-17,0,,0,79,68,53,304,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1949,SAN,"San Diego, CA",California,PHX,"Phoenix, AZ",Arizona,956,948,-8,19,1007,1157,4,1217,1201,-16,0,,0,81,73,50,304,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1950,MIA,"Miami, FL",Florida,DFW,"Dallas/Fort Worth, TX",Texas,2216,2216,0,13,2229,15,10,37,25,-12,0,,0,201,189,166,1121,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1951,PHX,"Phoenix, AZ",Arizona,SAN,"San Diego, CA",California,1510,1518,8,15,1533,1523,4,1525,1527,2,0,,0,75,69,50,304,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1951,SAN,"San Diego, CA",California,PHX,"Phoenix, AZ",Arizona,1635,1633,-2,13,1646,1840,8,1857,1848,-9,0,,0,82,75,54,304,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1952,LAX,"Los Angeles, CA",California,CLT,"Charlotte, NC",North Carolina,742,737,-5,13,750,1452,5,1521,1457,-24,0,,0,279,260,242,2125,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1953,IAH,"Houston, TX",Texas,MIA,"Miami, FL",Florida,1812,1803,-9,13,1816,2102,13,2151,2115,-36,0,,0,159,132,106,964,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1953,MIA,"Miami, FL",Florida,IAH,"Houston, TX",Texas,1441,1438,-3,23,1501,1626,7,1637,1633,-4,0,,0,176,175,145,964,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1955,DFW,"Dallas/Fort Worth, TX",Texas,SAN,"San Diego, CA",California,1110,1102,-8,10,1112,1157,4,1224,1201,-23,0,,0,194,179,165,1171,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1956,PHL,"Philadelphia, PA",Pennsylvania,PHX,"Phoenix, AZ",Arizona,1845,1857,12,24,1921,2151,4,2216,2155,-21,0,,0,331,298,270,2075,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1957,DFW,"Dallas/Fort Worth, TX",Texas,SAT,"San Antonio, TX",Texas,1034,1120,46,10,1130,1219,4,1152,1223,31,0,,0,78,63,49,247,31,0,0,0,0
2024,1,1,1,1/1/2024,AA,1957,SAT,"San Antonio, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1242,1313,31,15,1328,1405,7,1354,1412,18,0,,0,72,59,37,247,0,0,0,0,18
2024,1,1,1,1/1/2024,AA,1958,CMH,"Columbus, OH",Ohio,PHX,"Phoenix, AZ",Arizona,745,829,44,31,900,1043,5,1014,1048,34,0,,0,269,259,223,1670,34,0,0,0,0
2024,1,1,1,1/1/2024,AA,1960,SFO,"San Francisco, CA",California,CLT,"Charlotte, NC",North Carolina,700,656,-4,19,715,1453,10,1456,1503,7,0,,0,296,307,278,2296,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1961,SAT,"San Antonio, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1637,1729,52,10,1739,1820,10,1750,1830,40,0,,0,73,61,41,247,0,0,0,0,40
2024,1,1,1,1/1/2024,AA,1962,CLT,"Charlotte, NC",North Carolina,PIT,"Pittsburgh, PA",Pennsylvania,2245,2244,-1,12,2256,2356,5,10,1,-9,0,,0,85,77,60,366,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1966,ORD,"Chicago, IL",Illinois,LAS,"Las Vegas, NV",Nevada,905,901,-4,14,915,1025,8,1113,1033,-40,0,,0,248,212,190,1514,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1967,PHX,"Phoenix, AZ",Arizona,EWR,"Newark, NJ",New Jersey,1632,1631,-1,21,1652,2308,13,2309,2321,12,0,,0,277,290,256,2133,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1968,PHX,"Phoenix, AZ",Arizona,MIA,"Miami, FL",Florida,944,942,-2,22,1004,1535,5,1558,1540,-18,0,,0,254,238,211,1972,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1969,DFW,"Dallas/Fort Worth, TX",Texas,LAS,"Las Vegas, NV",Nevada,909,904,-5,13,917,948,5,1012,953,-19,0,,0,183,169,151,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1970,LAS,"Las Vegas, NV",Nevada,AUS,"Austin, TX",Texas,1405,1409,4,20,1429,1842,11,1842,1853,11,0,,0,157,164,133,1090,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1973,JAX,"Jacksonville, FL",Florida,CLT,"Charlotte, NC",North Carolina,630,621,-9,15,636,733,9,757,742,-15,0,,0,87,81,57,328,0,0,0,0,0
